t=0.6600000000000004 x=-75470.72000000004 y=-95511.52000000005 z=0.0
t=0.6700000000000004 x=-76520.64000000003 y=-96840.24000000005 z=0.0
t=0.6800000000000004 x=-77570.56000000004 y=-98168.96000000005 z=0.0
t=0.6900000000000004 x=-78620.48000000004 y=-99497.68000000005 z=0.0
t=0.7000000000000004 x=-79670.40000000004 y=-100826.40000000005 z=0.0
t=0.7100000000000004 x=-80720.32000000004 y=-102155.12000000005 z=0.0
t=0.7200000000000004 x=-81770.24000000005 y=-103483.84000000007 z=0.0
t=0.7300000000000004 x=-82820.16000000003 y=-104812.56000000006 z=0.0
t=0.7400000000000004 x=-83870.08000000005 y=-106141.28000000006 z=0.0
t=0.7500000000000004 x=-84920.00000000004 y=-107470.00000000006 z=0.0
t=0.7600000000000005 x=-85969.92000000006 y=-108798.72000000006 z=0.0
t=0.7700000000000005 x=-87019.84000000004 y=-110127.44000000008 z=0.0
t=0.7800000000000005 x=-88069.76000000004 y=-111456.16000000006 z=0.0
t=0.7900000000000005 x=-89119.68000000005 y=-112784.88000000006 z=0.0
t=0.8000000000000005 x=-90169.60000000006 y=-114113.60000000008 z=0.0
t=0.8100000000000005 x=-91219.52000000005 y=-115442.32000000007 z=0.0
t=0.8200000000000005 x=-92269.44000000008 y=-116771.04000000008 z=0.0
t=0.8300000000000005 x=-93319.36000000003 y=-118099.76000000007 z=0.0
t=0.8400000000000005 x=-94369.28000000006 y=-119428.48000000007 z=0.0
t=0.8500000000000005 x=-95419.20000000007 y=-120757.20000000007 z=0.0
t=0.8600000000000005 x=-96469.12000000005 y=-122085.92000000007 z=0.0
t=0.8700000000000006 x=-97519.04000000007 y=-123414.64000000009 z=0.0
t=0.8800000000000006 x=-98568.96000000005 y=-124743.36000000009 z=0.0
t=0.8900000000000006 x=-99620.01072266673 y=-126073.5109793334 z=0.0
t=0.9000000000000006 x=-100682.69600000007 y=-127418.38600000007 z=0.0
t=0.9100000000000006 x=-101772.1542373334 y=-128797.14338066675 z=0.0
t=0.9200000000000006 x=-102903.55677866674 y=-130228.98312533343 z=0.0
t=0.9300000000000006 x=-104092.07496800007 y=-131733.1052380001 z=0.0
t=0.9400000000000006 x=-105352.88014933342 y=-133328.70972266677 z=0.0
t=0.9500000000000006 x=-106708.09166666676 y=-135043.78958333345 z=0.0
t=0.9600000000000006 x=-108219.49525333341 y=-136956.5373866668 z=0.0
t=0.9700000000000006 x=-109962.93116000012 y=-139162.93231000018 z=0.0
t=0.9800000000000006 x=-112014.25610666681 y=-141758.9743733335 z=0.0
t=0.9900000000000007 x=-114449.32681333352 y=-144840.66359666685 z=0.0

 
